VALUE, ITERATIVE, RECURSIVE
221, 1.990318298339844e-05, 1.0013580322265625e-05
222, 9.970664978027344e-06, 0.0
223, 9.944438934326172e-06, 0.0
224, 1.018047332763672e-05, 0.0
225, 1.018047332763672e-05, 0.0
226, 1.0113716125488282e-05, 0.0
227, 1.9996166229248048e-05, 0.0
228, 1.9965171813964843e-05, 0.0
229, 1.987934112548828e-05, 0.0
230, 9.772777557373047e-06, 0.0
231, 3.020286560058594e-05, 9.996891021728516e-06
232, 2.0017623901367186e-05, 0.0
233, 9.9945068359375e-06, 0.0
234, 2.0325183868408203e-05, 0.0
235, 1.9898414611816405e-05, 0.0
236, 1.0044574737548829e-05, 0.0
237, 0.0, 9.925365447998047e-06
238, 1.0313987731933593e-05, 0.0
239, 1.999855041503906e-05, 0.0
240, 1.5196800231933594e-05, 0.0
241, 1.0099411010742187e-05, 0.0
242, 2.0284652709960937e-05, 0.0
243, 2.0036697387695314e-05, 0.0
244, 9.92298126220703e-06, 9.944438934326172e-06
245, 1.001596450805664e-05, 0.0
246, 1.0004043579101563e-05, 0.0
247, 9.913444519042968e-06, 1.0144710540771484e-05
248, 1.0004043579101563e-05, 9.977817535400391e-06
249, 1.989603042602539e-05, 0.0
250, 1.0066032409667968e-05, 9.982585906982421e-06
251, 2.009153366088867e-05, 0.0
252, 9.865760803222657e-06, 1.0132789611816406e-05
253, 1.0020732879638672e-05, 0.0
254, 1.024484634399414e-05, 0.0
255, 9.899139404296876e-06, 0.0
256, 9.86337661743164e-06, 0.0
257, 2.0127296447753907e-05, 9.975433349609376e-06
258, 0.0, 0.0
259, 1.0001659393310548e-05, 9.989738464355468e-06
260, 9.815692901611329e-06, 9.953975677490234e-06
261, 1.0113716125488282e-05, 0.0
262, 1.9917488098144533e-05, 0.0
263, 1.989126205444336e-05, 1.009225845336914e-05
264, 3.9920806884765624e-05, 0.0
265, 9.915828704833985e-06, 0.0
266, 9.813308715820312e-06, 0.0
267, 1.9977092742919923e-05, 0.0
268, 1.9805431365966795e-05, 0.0
269, 9.961128234863282e-06, 0.0
270, 3.0264854431152343e-05, 0.0
271, 1.9800662994384765e-05, 0.0
272, 1.0344982147216797e-05, 0.0
273, 9.953975677490234e-06, 9.984970092773438e-06
274, 2.0020008087158203e-05, 0.0
275, 9.99927520751953e-06, 0.0
276, 1.0044574737548829e-05, 0.0
277, 2.0136833190917967e-05, 0.0
278, 1.024484634399414e-05, 0.0
279, 1.9936561584472657e-05, 0.0
280, 1.9996166229248048e-05, 0.0
281, 1.532316207885742e-05, 1.0123252868652344e-05
282, 2.005577087402344e-05, 1.0058879852294921e-05
283, 2.9950141906738282e-05, 0.0
284, 2.0074844360351563e-05, 0.0
285, 1.995086669921875e-05, 0.0
286, 1.0187625885009765e-05, 0.0
287, 1.983642578125e-05, 0.0
288, 4.0001869201660157e-05, 0.0
289, 1.9857883453369142e-05, 0.0
290, 1.0190010070800782e-05, 0.0
291, 1.0006427764892578e-05, 9.9945068359375e-06
292, 2.002239227294922e-05, 0.0
293, 2.1102428436279298e-05, 0.0
294, 1.8181800842285157e-05, 0.0
295, 2.0046234130859375e-05, 0.0
296, 1.0120868682861329e-05, 1.0020732879638672e-05
297, 2.000570297241211e-05, 0.0
298, 2.0110607147216796e-05, 0.0
299, 1.3339519500732423e-05, 0.0
300, 3.444194793701172e-05, 0.0
301, 2.3353099822998048e-05, 0.0
302, 9.930133819580078e-06, 9.984970092773438e-06
303, 2.000570297241211e-05, 0.0
304, 1.9931793212890624e-05, 0.0
305, 2.017498016357422e-05, 9.85860824584961e-06
306, 1.9850730895996095e-05, 0.0
307, 9.968280792236329e-06, 1.0228157043457031e-05
308, 1.990795135498047e-05, 0.0
309, 9.961128234863282e-06, 0.0
310, 1.9867420196533203e-05, 1.0118484497070312e-05
311, 3.002643585205078e-05, 1.0073184967041016e-05
312, 1.9946098327636718e-05, 0.0
313, 1.018047332763672e-05, 9.9945068359375e-06
314, 1.999855041503906e-05, 0.0
315, 1.9955635070800782e-05, 1.1522769927978515e-05
316, 1.985311508178711e-05, 0.0
317, 2.002239227294922e-05, 9.944438934326172e-06
318, 2.0241737365722658e-05, 0.0
319, 1.9981861114501954e-05, 0.0
320, 9.92298126220703e-06, 9.99927520751953e-06
321, 9.973049163818359e-06, 9.963512420654297e-06
322, 3.006458282470703e-05, 0.0
323, 2.0127296447753907e-05, 9.973049163818359e-06
324, 1.9817352294921876e-05, 0.0
325, 3.0009746551513673e-05, 0.0
326, 4.014492034912109e-05, 1.001119613647461e-05
327, 3.0043125152587892e-05, 0.0
328, 2.995729446411133e-05, 0.0
329, 2.004861831665039e-05, 0.0
330, 1.8229484558105467e-05, 1.003265380859375e-05
331, 1.9974708557128907e-05, 0.0
332, 9.818077087402344e-06, 9.942054748535157e-06
333, 2.005577087402344e-05, 0.0
334, 2.0196437835693358e-05, 0.0
335, 1.0142326354980469e-05, 9.794235229492187e-06
336, 3.0057430267333983e-05, 0.0
337, 1.9905567169189452e-05, 0.0
338, 2.0682811737060547e-05, 9.93967056274414e-06
339, 1.001596450805664e-05, 1.0194778442382812e-05
340, 2.0291805267333984e-05, 0.0
341, 2.0191669464111328e-05, 0.0
342, 1.9860267639160156e-05, 0.0
343, 2.0625591278076173e-05, 0.0
344, 2.0108222961425782e-05, 0.0
345, 2.5458335876464844e-05, 9.801387786865234e-06
346, 3.0059814453125e-05, 0.0
347, 1.0042190551757812e-05, 0.0
348, 1.8136501312255858e-05, 0.0
349, 1.0044574737548829e-05, 0.0
350, 1.9991397857666014e-05, 0.0
351, 2.984762191772461e-05, 0.0
352, 2.9714107513427733e-05, 0.0
353, 1.9783973693847657e-05, 0.0
354, 2.0608901977539062e-05, 0.0
355, 1.0106563568115235e-05, 9.827613830566406e-06
356, 2.026796340942383e-05, 9.734630584716796e-06
357, 3.0038356781005858e-05, 0.0
358, 1.990795135498047e-05, 1.0156631469726563e-05
359, 1.9986629486083984e-05, 9.989738464355468e-06
360, 2.0036697387695314e-05, 0.0
361, 2.0012855529785156e-05, 0.0
362, 2.023935317993164e-05, 0.0
363, 3.023862838745117e-05, 0.0
364, 2.0132064819335937e-05, 0.0
365, 1.9850730895996095e-05, 0.0
366, 2.0105838775634765e-05, 0.0
367, 1.9822120666503906e-05, 0.0
368, 3.0012130737304686e-05, 0.0
369, 2.0110607147216796e-05, 0.0
370, 1.015186309814453e-05, 9.989738464355468e-06
371, 1.983642578125e-05, 1.0020732879638672e-05
372, 2.0551681518554688e-05, 0.0
373, 3.0121803283691407e-05, 0.0
374, 2.011537551879883e-05, 0.0
